video_name,resolution,fps,yt_id
20220126-M-Australian_Open-QF-Stefanos_Tsitsipas-Jannik_Sinner,1280x720,25.0,6xkdVotg750
20220126-M-Australian_Open-QF-Daniil_Medvedev-Felix_Auger_Aliassime,1280x720,25.0,g7E5FPLEiGg
20220125-M-Australian_Open-QF-Rafael_Nadal-Denis_Shapovalov,1280x720,25.0,La6hLTavOJ8
20210221-M-Australian_Open-F-Novak_Djokovic-Daniil_Medvedev,1280x720,25.0,MG-RjlqyaJI&t=894s
20210220-W-Australian_Open-F-Naomi_Osaka-Jennifer_Brady,1280x720,25.0,AnWCIikbiO0
20210219-M-Australian_Open-SF-Stefanos_Tsitsipas-Daniil_Medvedev,1280x720,25.0,5qu8Af7fZ0E
20210218-W-Australian_Open-SF-Naomi_Osaka-Serena_Williams,1280x720,25.0,pUR_-t7oitU
20210218-M-Australian_Open-SF-Novak_Djokovic-Aslan_Karatsev,1280x720,25.0,hr9POFmnZhc
20210217-M-Australian_Open-QF-Rafael_Nadal-Stefanos_Tsitsipas,1280x720,25.0,2d3R0E3LM4c
20230119-W-Australian_Open-R64-Marketa_Vondrousova-Ons_Jabeur,1280x720,25.0,0ZAjJC4Zpzo
20200130-M-Australian_Open-SF-Roger_Federer-Novak_Djokovic,1280x720,25.0,i29zruv8mKc
20200129-M-Australian_Open-QF-Rafael_Nadal-Dominic_Thiem,1280x720,25.0,wQBlMkVI8F8
20200128-W-Australian_Open-QF-Ashleigh_Barty-Petra_Kvitova,1280x720,25.0,20KoAqddwoY
20200126-W-Australian_Open-R16-Petra_Kvitova-Maria_Sakkari,1280x720,29.97002997002997,JglyNTcMD7Y
20200201-W-Australian_Open-F-Sofia_Kenin-Garbine_Muguruza,1280x720,25.0,FY1DeATclio
20210216-M-Australian_Open-QF-Novak_Djokovic-Alexander_Zverev,1280x720,25.0,QVw6bS-GwgU
20190124-M-Australian_Open-SF-Stefanos_Tsitsipas-Rafael_Nadal,1280x720,25.0,2d3R0E3LM4c&t=2s
20190124-W-Australian_Open-SF-Karolina_Pliskova-Naomi_Osaka,1280x720,25.0,oyMsuzabxUc
20220911-M-US_Open-F-Casper_Ruud-Carlos_Alcaraz,1280x720,29.97,HCIhFyeQxu0
20220910-W-US_Open-F-Iga_Swiatek-Ons_Jabeur,1280x720,29.97,4LKEnBAmhSU
20220909-M-US_Open-SF-Frances_Tiafoe-Carlos_Alcaraz,1280x720,29.97,monj8eP5LQM
20220909-M-US_Open-SF-Casper_Ruud-Karen_Khachanov,1280x720,29.97002997002997,RzForrdfhbI
20220908-W-US_Open-SF-Iga_Swiatek-Aryna_Sabalenka,1280x720,29.97,inUPKBQKUHE
20220908-W-US_Open-SF-Caroline_Garcia-Ons_Jabeur,1280x720,29.97,-2NddXRxW04
20220907-W-US_Open-QF-Karolina_Pliskova-Aryna_Sabalenka,1280x720,29.97002997002997,EOMFFpJxNR0
20220907-W-US_Open-QF-Iga_Swiatek-Jessica_Pegula,1280x720,29.97,dEBO7DcYhtQ
20220907-M-US_Open-QF-Jannik_Sinner-Carlos_Alcaraz,1280x720,29.97,XNYhoYjRs3Y
20220907-M-US_Open-QF-Andrey_Rublev-Frances_Tiafoe,1280x720,29.97,OsQzOCVrSzk
20220906-W-US_Open-QF-Caroline_Garcia-Cori_Gauff,1280x720,29.97002997002997,I1GIYvveiMQ
20220906-W-US_Open-QF-Ajla_Tomljanovic-Ons_Jabeur,1280x720,29.97,rEeWPxtV1PQ
20220906-M-US_Open-QF-Karen_Khachanov-Nick_Kyrgios,1280x720,29.97,mvbdH85TLV4
20220906-M-US_Open-QF-Casper_Ruud-Matteo_Berrettini,1280x720,29.97002997002997,G7T5Z3WwE1M
20210912-M-US_Open-F-Novak_Djokovic-Daniil_Medvedev,1280x720,29.97002997002997,yACtNdJaBso
20210911-W-US_Open-F-Emma_Raducanu-Leylah_Fernandez,1280x720,29.97002997002997,F99Kz2eptqM
20210910-M-US_Open-SF-Novak_Djokovic-Alexander_Zverev,1280x720,29.97002997002997,_g1lEtQXtxE
20210910-M-US_Open-SF-Felix_Auger_Aliassime-Daniil_Medvedev,1280x720,29.97002997002997,D2I3RakqjsQ
20210909-W-US_Open-SF-Emma_Raducanu-Maria_Sakkari,1280x720,29.97002997002997,Lg2_-XjjvyY
20210909-W-US_Open-SF-Aryna_Sabalenka-Leylah_Fernandez,1280x720,29.97002997002997,l-q5_tmOkqg
20210908-W-US_Open-QF-Karolina_Pliskova-Maria_Sakkari,1280x720,29.97002997002997,ZvYo86KAhgE
20210908-W-US_Open-QF-Emma_Raducanu-Belinda_Bencic,1280x720,29.97002997002997,4zesQM7qmfc
20210908-M-US_Open-QF-Novak_Djokovic-Matteo_Berrettini,1280x720,29.97002997002997,LWBMqafBEoE
20210907-W-US_Open-QF-Leylah_Fernandez-Elina_Svitolina,1280x720,29.97002997002997,WsBvZFKeT-8
20200913-M-US_Open-F-Dominic_Thiem-Alexander_Zverev,1280x720,29.97002997002997,Mac4XI3ka5I
20200912-W-US_Open-F-Naomi_Osaka-Victoria_Azarenka,1280x720,29.97002997002997,LVjO-dH0P6c
20200911-M-US_Open-SF-Dominic_Thiem-Daniil_Medvedev,1280x720,29.97002997002997,vf5edF2BUpg
20200910-W-US_Open-SF-Victoria_Azarenka-Serena_Williams,1280x720,29.97002997002997,bUwdsaGW7yg
20200910-W-US_Open-SF-Naomi_Osaka-Jennifer_Brady,1280x720,29.97002997002997,G9IQCq-PT4M
20200909-W-US_Open-QF-Serena_Williams-Tsvetana_Pironkova,1280x720,29.97002997002997,kk-tUHeQLcA
20200909-M-US_Open-QF-Andrey_Rublev-Daniil_Medvedev,1280x720,29.97002997002997,kIP2NAeTaDQ
20200908-W-US_Open-QF-Naomi_Osaka-Shelby_Rogers,1280x720,29.97002997002997,6NCDNdB43qU
20200908-M-US_Open-QF-Denis_Shapovalov-Pablo_Carreno_Busta,1280x720,29.97002997002997,38YDcgSSmG0
20200908-M-US_Open-QF-Borna_Coric-Alexander_Zverev,1280x720,29.97002997002997,bEr_zEOqb4w
20190908-M-US_Open-F-Rafael_Nadal-Daniil_Medvedev,1280x720,29.97002997002997,ROaqNQ-12Js
20190907-W-US_Open-F-Serena_Williams-Bianca_Andreescu,1280x720,29.97002997002997,GCzsODijnqw
20190906-M-US_Open-SF-Rafael_Nadal-Matteo_Berrettini,1280x720,29.97002997002997,3UE8YEvh3AE
20190906-M-US_Open-SF-Grigor_Dimitrov-Daniil_Medvedev,1280x720,29.97002997002997,mLGcEqse4H4
20210905-W-US_Open-R16-Leylah_Fernandez-Angelique_Kerber,1280x720,29.97002997002997,8LJubnASt6s
20210903-W-US_Open-R32-Leylah_Fernandez-Naomi_Osaka,1280x720,29.97002997002997,2jw0D61Fle4
20180605-M-Roland_Garros-QF-Marco_Cecchinato-Novak_Djokovic,1280x720,25.0,BCjHPehrILw
20130607-M-Roland_Garros-SF-Novak_Djokovic-Rafael_Nadal,1280x720,25.0,sEiB2E_N3OA
20201011-M-Roland_Garros-F-Novak_Djokovic-Rafael_Nadal,1280x720,30.0,saFt_DHs3aA
